"Timestamp","Titlu proiect","Scurta descriere","Obiective","Grup tinta","Numar de persoane participante","Materiale necesare","Resurse financiare necesare","Organizator","Informatii suplimentare","Categorie","Translator"
"9/25/2012 13:18:48","Concurs cu postere pentru promovarea pacii","Concurs de arta (pictat si colorat) cu teme despre pace pentru a sustine si a promova pacea, tintele fiind copiii cu varste cuprinse intre 11 si 13 ani.","Promovarea pacii; aceasta este sustinuta de Natiunile Unite si de Lions International Clubs; aceasta activitate, de asemenea, ne permite sa gasim noi membri voluntari non-Leo.","Copii cu varstele cuprinse intre 11 si 13 ani, in general care studiaza in scoli internationale.","Cel putin 4 membri sunt necesari pentru pregatirea evenimentului, unul pentru opera de arta, unul care contacteaza scoli, unul care contacteaza sponsori si unul care se ocupa de organizarea locatiei. Acestia patru, in mod sigur vor avea nevoie de ajutor pe durata evenimentului; e nevoie de mai multe persoane care sa imparta postere, sa voteze cei trei castigatori, sa imparta premiile, sa ghideze invitatii atunci cand intra la locurile lor, cat si atunci cand ies. De obicei, pe durata evenimentului participa cel putin 15 membri Leo.","Contactarea scolii, contactarea sponsorilor, locatia evenimentului, invitatiile si operele de arta, certificate, premii pentru cei 3 castigatori, suvenire pentru toti participantii, postere cu participantii galeriei, discursuri.
","Suma de bani alocata depinde de sponsori, de numarul de suvenire, de costurile premiilor, de chiria locului in care se desfasoara si de cele necesare pentru operele de arta. De obicei, sponsori sunt destui incat sa acopere cele mai multe aspecte, uneori, clubul trebuie sa cheltuiasca 1000-1200 LE de la trezoreria proprie. 
 
","Leo Club North Cairo  impreuna cu voluntari de la alte cluburi Leo, Egipt.","Samer Nagui, samernagui@hotmail.com, +20100001130
Frederick Nabil Khoury, frederick.khoury@gmail.com,
+20101998772.
Activitatea are de asemenea eveniment pe Facebook si o sa apara pe fiecare website al cluburilor din Egipt.
","Proiecte comune Leo-Lions si de socializare","Ana Maria Popa"
"9/25/2012 13:55:11","Atelier Leo-Lions","Aceasta actiune are loc o data pe an, pe durata primei sedinte de consiliu, toamna. Leo si Lions se intalnesc pentru o jumatate de zi si discuta in grupuri diferite teme actuale( Imbunatatirea relatiei dintre Leo si Lions, recrutarea membrilor, etc.). In mod normal, participantii sunt separati in 3 grupuri si ca urmare a unui principiu de rotatie fiecare Leo/Lions are sansa sa participe in fiecare atelier. Atelierul a devenit o platforma valoroasa pentru comunicarea ideilor si imbunatatirea relatiei dintre Leo si Lions. Aceasta actiune poate fi facuta pe o baza nationala sau pe una de club.","Imbunatatirea relatiei dintre Leo si Lions","Leo si Lions","2 persoane sunt suficiente","Se poate organiza si separate de sedinta de consiliu. E nevoie doar de 3 camere pentru seminare pentru cele 3 grupuri. IMPORTANT: Leo si Lions trebuie informati destul de devreme despre asta.","Poate costurile pentru camerele in care se va desfasura activitatea. Nu sunt alte costuri.","MD Austria, organizat in fiecare an de catre alt club.","Contactati ILO, ilo@leo.at","Proiecte comune Leo-Lions si de socializare","Ana Maria Popa"
"9/26/2012 13:06:18","Copiii Lumii","Aceasta activitate este un proiect comun cu Lionsin care strângem fonduri care se duc direct catre caritate. Ne pozitionam la un mall, unde multi oameni trec zilnic.","Strângerea de fonduri pentru caritate, ajutorarea copiilorin privinta sanatatii, educatiei, unui viitor mai bun.","Public",1,"Urne pentru strâns banii, bannere","Ajutor Lions pentru materiale","Leo Club Värmland, Suedia","Rebecca Persson, rebbe.persson@gmail.com","Fundraising - donatii","Rosu stefan"
"9/26/2012 13:19:47","Chioscul cu vin fiert","Proiectul constain instalarea unui butic de lemnin centrul orasului Biella, unde vinul fiert si alte bauturi calde sunt servitein perioada Craciunului (inclusiv Ajunul)in schimbul donatiilor de la trecatori. Acest serviciu este oferit comunitatii de membrii Leo Club Biellainca din 1987.","Are scopul de a oferi o bautura calda si un zâmbet locuitorilor, strângând totodata fonduri pentru bugetul anual al clubului","Trecatorii de orice vârsta","Toti membrii clubului (15 oameni) fac cu rândul (2-3 oameni pe tura) dimineata sau dupamasa pâna la Ajunul Craciunului.","Baietii din club se ocupa de construirea chioscului din panouri de lemn, iar fetele auin atributii curatenia (buticul a trecutintotdeauna cu succes inspectiile sanitare) si cumparaturile: de exemplu,in 2010, s-au folosit 30 kg de zahar si 300 litri de vin.","Aceasta activitate e auto-finantata de club","Leo Club Biella, Italia","Lia Pasotti, liapasotti@rocketmail.com","Fundraising - donatii","Rosu stefan"
"9/26/2012 13:31:57","Târgul de carti pentru copii","În cadrul acestei activitati, carti pentru copii au fost vânduteintr-un stand, pe strada. Proiectul a fost desfasurat cu ocazia Zilei Internationale a Copiluluiin septembrie si a fostin comun cu Lions Club Koblenz.","Renovarea curtii unei scoliin Diesterweg-Förderschule, TKoblenz.","Trecatorii","Aproximativ 12 oameni","Fluturasi,bannere,mese pentru carti, carti, transport pentru livrarea lor, bani pentru rest, pungi de plastic","Sponsorizat de Lions, cartile au fost colectate de-a lungul anului de la membrii Leo si Lions","Leo Club Koblenz “Deutsches Eck”, Germania","Katharina Schlaudt, katharinaschlaudt@yahoo.com","Fundraising - donatii","Rosu stefan"
"9/26/2012 13:32:42","Vizita la ZOO","Vizita la gradina zoologica organizata pentru copii cu posibilitaţi materiale reduse. Leo a asigurat transportul şi ainsoţit copiii prin ZOO.","O zi mai frumoasa pentru copiii saraci.","Copii din familii nevoiaşe","Cel puţin 7 (depinde de numarul copiiilor)","Copiii din familii nevoiaşe sunt greu de identificat. Trebuie organizate transportul, mâncarea şi intrareain ZOO pentru copii.","În jur de 1800 lei(aprox 380 de euro).","Clubul Leo Zentralschweiz, Elveţia","http://www.lionsbase.org/show.asp?ClubID=90319&Lan
guageCode=GER","Proiecte de service","Silviu V"
"9/26/2012 14:56:23","Noaptea Cazinoului Leo","Clubul Leo Kassel organizeaza o noapte caritabila la cazino pentru a colecta donații pentru un Spielmobiel ( autobuz cu jucarii ). Membri Lions, membri ai altor cluburi de caritate, demnitari, VIP-uri si membri Leo au fost invitați sa joace pentru o cauza nobila. Proiect comun cu Spielmobiel Rote Rübe e.V., Kassel.","Pentru a strânge bani pentru Spielmobiel Rote Rübe e.V., organizatorii le-au explicat copiilor dreptul lor de decizie. Totodata, s-a urmarit si atragerea atentiei pentru Leo si Spielmobiel Rote Rübe e.V.","Vizitatorii Noptii Cazinoului Leo","Aproximativ 32in total, 20 de organizatori si 12 executanti. Organizareaincepe cu un aninainte. ","Stabilirea unei locatii, mese de cazino si echipament, catering, gasirea de sponsori, anuntarea invitatilor ( prin mail si posta), contactarea presei, autorizatii pentru jocuri de noroc, program de design","6800 Euro","Leo Club Kassel, Germania","Soja Koch, soja-koch@gmx.de","Fundraising - donatii","Rosu stefan"
"9/26/2012 15:29:34","Duel culinar Leoin Aachen","E un concurs de gatit pentru echipe de câte 4 oameni. Retetele de baza, ingrediente, echipament si locatia desfasurarii sunt sponsorizate de Frankenberg GmbH ( furnizor pentru catering pe rute aeriene ).in cadrul acestei competitii, un program extensiv este organizat, care constain petreceri, turul orasului, jocuri distractive, vizite la companii si cina cu program de divertisment si ceremonie de premiere. Activitatea se petrece cu sprijinul si colaborarea Frankenberg GmbH, Lions Clubs, Rotaract Club Aachen, Johanniter Aachen.","Promovarea Leo Clubs, atragerea de noi membri","Proiectul  “Aachener Kindern den Tisch decken” (Pregateste o masa pentru copiii din Aachen). Ideea proiectului este de a oferi scolarilor din Aachen micul dejun si o masa calda la prânz.","Aproximativ 35 de oameni pentru a planifica si punein executie proiectul, unde 15-20 de oameni sunt necesari pentru planificare si 15 pentru activitateainsasi. Durata de pregatire: aproximativ 8 luni!","Fluturasi, pagina web.
Gasirea de sponsori si participanti, obtinerea de asigurari,inchirierea unei sali si asigurarea transportului pentru participanti, pregatirea programului extensiv, cumparaturi, alcatuirea unui program pentru voluntari, transportul ustensilelor ( tur-retur) ,închirierea, ridicarea si transportul veselei si tacâmurilor, pregatirea locatiei, comandarea de bauturi, achizitionarea decoratiilor, curatenia dupa eveniment, contactul cu presa scrisa.","aproximativ 3000 Euro","Leo Club Aachen, Germania","Ina Oldendorf, ina_oldendorf@yahoo.de","Fundraising - donatii","Rosu stefan"
"9/26/2012 18:26:49","Oua de Pasti","Membrii Leo construiesc o piramida de 1,80 metri, alcatuita din 12.000 de oua de Pasti pictateintr-un mall, cu scopul de a vinde ouale pentru o cauza nobila. Activitate comuna cu Lions Club Weil am Rhein.","Strângerea de fonduri pentru o vacanta pe vapor pentru oameni cu dizabilitati.","Clientii supermarketului; 2 noi membri au fost câstigati!","Aproximativ 6 membri Leo pentru pregatire si 10 pentru activitateainsasi (constructia piramidei si vândutul oualor)","Acordul supermarketului, pregatirea de fluturasi, achizitia oualor.","-","Leo Club Weil am Rhein - Dreiländereck, Germania","Murat Kükner, muratkukner@hotmail.de","Fundraising - donatii","Rosu stefan"
"9/26/2012 18:47:25","Recunostiinta pentru daruire","Activitatea ia locin 12 restaurante. Ideea este ca oamenii care le frecventeazain timpul pauzei de masa de la prânz sa plateasca 1 Euro mai mult pentru un anumit meniu si banii strânsi astfel sa fie folositi ca o donatie pentru un câine utilitar. Dresajul unui câine utilitar costa 25000 Euro. Este o activitate comuna cu Lions Club Eschenheimer Turm.","Strângerea de donatii pentru a antrena un câine utilitar pentru un baiat de 7 ani, care a fost imobilizatintr-un scaun cu rotileinca de la nastere.","Clientii restaurantului","6 membri Leo, 3 pentru organizare si 3 pentru activitatea propriu-zisa.
Pregatirileincep cu aprox. 3 luniinainte de activitate.","Fluturasi, site web despre activitate. Atragerea atentiei media, contactarea restaurantelor, sumarizarea conceptului, convingerea restaurantelor sa participe.","Bugetul este necesar pentru a tipari fluturasii ( sponsorizat prin Clubul Lions) si pentruintretinerea siteului web.","Leo Club Frankfurt Mainhattan, Germania","Stefan Krause-Palfner, stkrausepalfner@gmail.com","Fundraising - donatii","Rosu stefan"
